video,before_onset,touch_ues,leave_ues
AD276.avi,1373,1387,
AD276.avi,1524,1537,1596
AD276.avi,1759,1775,1834
AD276.avi,1819,1835,1875
AD276.avi,1930,1949,1992
AD276.avi,2023,2043,
AD276.avi,2263,2275,2287
AD276.avi,2468,2482,2519
AD276.avi,2671,,
AD276.avi,3192,3201,3221
AD276.avi,3772,3785,3809
AD276.avi,4280,4291,4303
AD276.avi,4647,4663,4680
AD276.avi,4892,4908,4934
AD276.avi,5352,5367,5401
AD276.avi,6011,6033,6054
AD290.avi,46,71,
AD290.avi,160,,
AD290.avi,263,276,305
AD290.avi,374,386,428
AD290.avi,513,528,559
AD290.avi,910,923,934
AD290.avi,1587,1605,1623
AD290.avi,1765,1777,
AD290.avi,2241,2254,2273
AD290.avi,2615,,
AD290.avi,2785,2798,2807
AD290.avi,3091,3102,3121
AD290.avi,3481,,
AD290.avi,3600,3618,3642
AD290.avi,3753,,
AD290.avi,3945,,
AD290.avi,4195,4208,4227
AD290.avi,4489,4511,4530
AD290.avi,,4575,4592
AD290.avi,4678,4699,4714
AD290.avi,4828,4844,4859
AD290.avi,5005,5017,5037
AD290.avi,5519,5532,5546
AD290.avi,5701,5713,5727
AD290.avi,5936,5949,5969
AD290.avi,6139,6153,
AD290.avi,6435,6447,6461
AD294.avi,314,327,338
AD294.avi,548,560,581
AD294.avi,820,833,863
AD294.avi,986,1000,1028
AD294.avi,1190,1202,1229
AD294.avi,1304,1319,1330
AD294.avi,,1482,1520
AD294.avi,1664,1678,1709
AD294.avi,1983,1994,2017
AD294.avi,2143,,
AD294.avi,2448,2456,2467
AD294.avi,2762,2771,2793
AD294.avi,2932,2946,2966
AD294.avi,3138,3151,3171
AD294.avi,3327,3320,3362
AD317A.avi,268,311,316
AD317A.avi,598,616,634
AD317A.avi,767,780,802
AD317A.avi,1021,1046,1056
AD317A.avi,1171,1184,1211
AD317A.avi,1390,1402,1444
AD317A.avi,1666,1682,1691
AD317A.avi,1850,1875,1893
AD317A.avi,2029,2049,2070
AD317A.avi,2343,2360,2377
AD317A.avi,2574,2593,
AD317A.avi,2860,,2882
AD317A.avi,3084,,
AD317A.avi,3379,3399,3413
AD317B.avi,126,136,152
AD317B.avi,343,355,380
AD317B.avi,558,581,594
AD317B.avi,745,768,788
AD317B.avi,1130,,
AD317B.avi,1569,1590,1606
AD317B.avi,1768,1784,1807
AD317B.avi,2038,2061,2075
AD317B.avi,2184,2206,2233
AD317B.avi,2383,2403,2419
AD317B.avi,2570,2593,2610
AD317B.avi,2718,2734,2748
AD317B.avi,,3227,3240
AD317B.avi,3382,3396,
AD334.avi,359,370,385
AD334.avi,571,,
AD334.avi,755,768,791
AD334.avi,971,992,1012
AD334.avi,,1128,1147
AD334.avi,1242,1257,1275
AD334.avi,1366,1388,1404
AD334.avi,1589,1602,1621
AD334.avi,,2180,2191
AD334.avi,2846,2866,2875
AD334.avi,3068,3089,3102
AD334.avi,3513,3525,3538
AD334.avi,3727,3751,3760
AD334.avi,3904,3927,3939
AD334.avi,4028,4051,4065
AD334.avi,4177,4190,4202
AD334.avi,4853,4863,4877
AD334.avi,5180,5197,5212
AD334.avi,5648,5662,5672
AD334.avi,5970,5986,
AD334.avi,6196,6211,6224
AD334.avi,6456,6468,6479
AD378.avi,205,221,235
AD378.avi,485,500,510
AD378.avi,907,925,948
AD378.avi,1110,1128,1148
AD378.avi,1477,1490,1503
AD378.avi,2186,2202,2216
AD378.avi,,2364,2380
AD378.avi,2781,2795,2803
AD378.avi,3200,3210,3222
AD378.avi,3495,3510,3533
AD378.avi,3775,3795,3817
AD378.avi,4115,4132,
AD378.avi,4337,4359,4380
AD378.avi,,4625,
AD378.avi,5115,5136,5162
AD388.avi,241,250,268
AD388.avi,512,523,545
AD388.avi,748,760,794
AD388.avi,960,973,1020
AD388.avi,1094,,
AD388.avi,1316,1334,1350
AD388.avi,1473,1489,1515
AD388.avi,1644,1657,1688
AD388.avi,1833,,
AD388.avi,2027,2038,2056
AD388.avi,2606,2622,2636
AD388.avi,2783,2799,2816
AD388.avi,3052,3067,3082
AD388.avi,3222,3235,3257
AD389.avi,414,426,433
AD389.avi,565,576,
AD389.avi,698,708,723
AD389.avi,897,910,939
AD389.avi,1119,1134,1152
AD389.avi,1501,1512,1522
AD389.avi,1681,1692,1704
AD389.avi,2302,2313,2324
AD389.avi,2497,2517,2535
AD389.avi,2683,2696,2716
AD389.avi,2880,,
AD389.avi,,,3071
AD389.avi,3753,3763,3792
AD389.avi,3941,3953,3992
AD389.avi,4044,4060,4076
AD389.avi,4347,4364,
AD389.avi,4476,4490,4518
AD389.avi,4651,4666,4687
AD389.avi,4801,4814,4838
AD394.avi,234,246,256
AD394.avi,481,,509
AD394.avi,703,712,735
AD394.avi,1043,1059,1080
AD394.avi,1273,1284,1313
AD394.avi,1432,1459,1477
AD394.avi,1614,1626,1647
AD394.avi,1760,1779,1799
AD394.avi,1917,1930,1960
AD394.avi,2242,2259,2274
AD394.avi,2474,2488,2506
AD394.avi,,2658,2672
AD394.avi,2853,2862,2880
AD394.avi,3112,3132,3147
AD394.avi,3306,3322,3340
AD394.avi,3490,3503,3523
AD394.avi,3649,3661,3687
AD394.avi,3854,3874,3888
AD394.avi,4040,4059,4075
AD394.avi,4378,,
AD394.avi,4628,4643,4658
AD394.avi,4893,4903,4917
AD394.avi,,,5078
AD394.avi,5477,5499,5512
AD394.avi,5718,5739,5756
AD394.avi,5902,5912,5933
AD394.avi,6309,6325,6334
AD394.avi,6516,6525,6542
AD394.avi,6715,6730,6741
AD394.avi,6941,6958,6971
AD394.avi,7070,7085,7099
AD424.avi,82,90,107
AD424.avi,,256,281
AD424.avi,311,327,362
AD424.avi,417,426,463
AD424.avi,503,,
AD424.avi,660,686,708
AD424.avi,778,790,824
AD424.avi,909,925,963
AD424.avi,1070,1088,1128
AD424.avi,1164,1178,1201
AD424.avi,1266,1286,1319
AD424.avi,1625,1642,1659
AD424.avi,1828,1840,1865
AD424.avi,2170,2182,2212
AD424.avi,2317,2330,2349
AD424.avi,2610,2621,2636
AD424.avi,2899,2916,2930
AD424.avi,3073,3087,3100
AD424.avi,3464,3476,3483
AD424.avi,3647,3659,3673
AD424.avi,3863,3896,3911
AD424.avi,3988,4000,4019
AD424.avi,4329,,
AD424.avi,4441,4452,4478
AD424.avi,4607,4620,4646
AD424.avi,5003,5018,2029
AD424.avi,5141,5159,5180
AD424.avi,5387,5396,5407
AD424.avi,5563,5576,5595
AD424.avi,5685,5698,5709
AD424.avi,5888,5902,5918
AD424.avi,6062,,
AD424.avi,6200,6212,6230
AD424.avi,6352,6365,6385
AD424.avi,6514,,
AD424.avi,6756,6768,6785
AD424.avi,6984,6996,7016
AD424.avi,7097,7109,7130
AD435A.avi,73,93,109
AD435A.avi,227,237,258
AD435A.avi,418,430,462
AD435A.avi,581,599,632
AD435A.avi,,,659
AD435A.avi,732,747,773
AD435A.avi,,,921
AD435A.avi,1040,1056,1087
AD435A.avi,1373,1387,1414
AD435A.avi,1562,1578,1597
AD435A.avi,1750,1764,1786
AD435A.avi,1979,1992,2014
AD435A.avi,2107,2132,2148
AD435A.avi,2604,2614,2632
AD435A.avi,2801,2814,2831
AD435A.avi,3345,3362,3372
AD435A.avi,3493,3505,3521
AD435A.avi,3659,3678,
AD435A.avi,3842,3857,3875
AD435B.avi,144,156,175
AD435B.avi,397,407,429
AD435B.avi,640,652,665
AD435B.avi,832,846,863
AD435B.avi,1215,1230,1248
AD435B.avi,1460,1473,1494
AD435B.avi,1607,1621,1645
AD435B.avi,2068,2079,2090
AD435B.avi,2317,2331,2348
AD435B.avi,2459,2473,2491
AD435B.avi,2941,2965,2985
AD451.avi,275,292,306
AD451.avi,,918,930
AD451.avi,1109,1123,1163
AD451.avi,1323,1337,1368
AD451.avi,1749,1762,1778
AD451.avi,2054,2069,2088
AD451.avi,2265,2279,2298
AD451.avi,2839,2850,
AD451.avi,3195,3205,3223
AD451.avi,3436,3452,3467
AD451.avi,3641,3654,3675
AD458.avi,344,357,378
AD458.avi,499,513,530
AD458.avi,684,695,714
AD458.avi,905,917,944
AD458.avi,1050,1065,1087
AD458.avi,1200,,
AD458.avi,1655,1668,1685
AD458.avi,2058,2077,2111
AD458.avi,2351,2364,2372
AD458.avi,2714,2726,2743
AD458.avi,3048,3062,3078
AD458.avi,3402,3417,3431
AD458.avi,3593,3610,3629
AD458.avi,4031,4043,4053
AD458.avi,4252,4270,4288
AD458.avi,4354,4366,4381
AD458.avi,4634,4649,4664
AD458.avi,4780,4791,4806
AD458.avi,5154,5174,5191
AD458.avi,5821,5832,5852
AD458.avi,5970,5982,6002
AD459A.avi,468,482,
AD459A.avi,726,737,753
AD459A.avi,991,1004,1029
AD459A.avi,1286,1301,1338
AD459A.avi,1458,1480,1526
AD459A.avi,1648,1670,1682
AD459A.avi,1900,1917,1945
AD459A.avi,2099,2122,
AD459A.avi,2255,2269,2281
AD459A.avi,2442,2454,
AD459A.avi,2592,2607,2627
AD459A.avi,2810,2824,2851
AD459A.avi,3062,3074,3116
AD459A.avi,3255,3274,3295
AD459A.avi,3422,3446,3474
AD459A.avi,3580,3599,3611
AD459B.avi,48,73,81
AD459B.avi,258,273,288
AD459B.avi,583,,
AD459B.avi,1129,1143,1156
AD459B.avi,1423,1440,1455
AD459B.avi,1605,1619,1638
AD459B.avi,,1764,1792
AD459B.avi,1955,1973,1987
AD459B.avi,2293,2310,2328
AD459B.avi,2506,2521,2543
AD459B.avi,2719,,
AD459B.avi,2794,2813,2825
AD459B.avi,3104,3122,3149
AD459B.avi,3248,3264,3283
AD459B.avi,3410,,
AD496.avi,116,132,
AD496.avi,371,393,409
AD496.avi,675,686,700
AD496.avi,816,,
AD496.avi,1177,1196,1213
AD496.avi,1412,1430,1448
AD496.avi,1702,1717,1730
AD496.avi,1905,1928,1947
AD496.avi,2038,2059,2099
AD496.avi,2150,2166,
AD496.avi,2212,2225,
AD496.avi,2265,,
AD496.avi,2716,2730,
AD496.avi,3111,3124,3139
AD496.avi,3478,3494,3515
AD496.avi,4015,4030,4057
AD496.avi,4310,4327,4344
AD496.avi,4532,4549,4564
AD496.avi,4713,4727,
AD496.avi,,,4822
AD496.avi,5199,5217,5233
AD496.avi,5511,5536,5555
AD496.avi,5774,5793,
AD496.avi,6217,6236,6253
AD496.avi,6505,6519,6536
AD496.avi,6805,6816,6830
AD498.avi,615,626,638
AD498.avi,943,957,981
AD498.avi,1115,1136,1159
AD498.avi,1418,1441,1452
AD498.avi,1688,1702,1716
AD498.avi,1894,1906,1925
AD498.avi,2034,2052,2067
AD498.avi,2190,2202,
AD503.avi,289,302,309
AD503.avi,617,629,651
AD503.avi,935,950,982
AD503.avi,1103,1118,1157
AD503.avi,,1190,1217
AD503.avi,1441,1457,1484
AD503.avi,1697,1723,1757
AD503.avi,1898,1918,1947
AD503.avi,2145,2159,2180
AD530.avi,241,255,266
AD530.avi,459,471,485
AD530.avi,693,706,727
AD530.avi,898,,
AD530.avi,929,943,963
AD530.avi,1498,1510,1526
AD530.avi,1797,1809,1837
AD530.avi,2099,2111,2139
AD530.avi,2508,2522,2559
AD530.avi,2781,2803,2826
AD530.avi,,,3051
AD530.avi,3279,3301,3326
AD534.avi,80,,112
AD534.avi,257,268,277
AD534.avi,517,528,541
AD534.avi,687,702,736
AD534.avi,883,895,937
AD534.avi,1055,1072,1096
AD534.avi,1191,1204,1245
AD534.avi,1470,1485,1523
AD534.avi,1605,1620,1659
AD534.avi,1781,1801,1820
AD541.avi,192,209,221
AD541.avi,354,366,383
AD541.avi,534,547,582
AD541.avi,625,636,
AD541.avi,660,,
AD541.avi,694,,
AD541.avi,723,,
AD541.avi,,780,
AD541.avi,1066,,
AD541.avi,1219,1234,1278
AD541.avi,1374,1388,
AD541.avi,1559,1570,1603
AD541.avi,1602,1618,1639
AD541.avi,1787,1797,1816
AD541.avi,2156,2168,2180
AD541.avi,2433,2444,2461
AD541.avi,2722,2738,2763
AD541.avi,2873,2886,2907
AD541.avi,3011,3024,3055
AD541.avi,3063,3077,
AD543.avi,422,442,466
AD543.avi,722,734,756
AD543.avi,902,913,967
AD543.avi,1193,,1241
AD543.avi,1529,1540,1558
AD543.avi,1765,1778,1812
AD543.avi,1940,1961,1986
AD543.avi,2114,2129,2175
AD543.avi,2555,2563,2580
AD543.avi,2786,2797,2819
AD543.avi,2911,2936,2966
AD543.avi,3365,3375,3384
AD543.avi,3973,3983,4002
AD543.avi,4192,4208,4236
AD543.avi,4405,4418,4447
AD543.avi,4628,4639,4662
AD543.avi,4845,4854,4872
AD543.avi,5127,5141,5168
AD543.avi,5394,5407,5438
AD543.avi,5584,5607,5629
AD543.avi,5776,5796,5841
AD543.avi,5946,5957,5988
AD543.avi,6109,6120,6168
AD543.avi,6218,6230,6265
AD543.avi,6321,6355,
AD547.avi,301,317,332
AD547.avi,467,476,493
AD547.avi,,,638
AD547.avi,713,726,
AD547.avi,899,913,943
AD547.avi,1279,1294,1308
AD547.avi,1514,1527,1559
AD547.avi,1804,1826,1854
AD547.avi,,2084,2107
AD547.avi,2274,2287,
AD547.avi,2694,2709,2725
AD547.avi,3021,3034,
AD547.avi,3224,3242,3264
AD547.avi,3401,3413,3451
AD605.avi,270,282,294
AD605.avi,492,502,513
AD605.avi,924,932,943
AD605.avi,1263,1274,1296
AD605.avi,,1564,
AD605.avi,1959,1968,1982
AD605.avi,2166,2178,2194
AD605.avi,2561,2570,2583
AD605.avi,336,343,362
AD605.avi,448,457,478
AD605.avi,628,645,662
AD605.avi,776,786,810
AD605.avi,938,949,973
AD605.avi,1127,1148,1167
AD605.avi,1233,1245,1257
AD605.avi,1388,1401,1419
AD605.avi,1517,1538,1558
AD605.avi,1615,1632,1645
AD605.avi,1846,1864,1881
AD646.avi,897,907,919
AD646.avi,1080,1092,1107
AD646.avi,1357,1379,1395
AD646.avi,1533,1546,1576
AD646.avi,1690,1708,1739
AD646.avi,1833,1847,1884
AD646.avi,2038,2052,2084
AD646.avi,2250,2271,2311
AD646.avi,2368,2386,2465
AD646.avi,2565,2583,
AD646.avi,2690,2720,2751
AD646.avi,,2882,2916
AD646.avi,3039,3051,3081
AD646.avi,,3163,3209
AD646.avi,3254,3276,
AD646.avi,3573,3585,3598
AD646.avi,3797,3807,3840
AD646.avi,3980,3993,4018
AD646.avi,4289,4307,4327
AD646.avi,4786,4799,4819
AD646.avi,5004,5017,5044
AD646.avi,5311,5346,5377
AD646.avi,5578,5601,5629
AD646.avi,5753,,
