video,frame,label,xc,yc,w,h,width,height,filepath,split
AD128.avi,2651,0,0.246736,0.195644,0.116605,0.136546,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2657,0,0.292364,0.157238,0.119485,0.140031,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2658,1,0.304229,0.154782,0.120952,0.141289,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2672,0,0.506339,0.245580,0.120523,0.135755,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2745,0,0.305103,0.649668,0.120901,0.139902,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2774,0,0.289566,0.657432,0.118778,0.139220,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2775,1,0.284459,0.657202,0.120477,0.139774,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2878,0,0.250512,0.597673,0.122039,0.140328,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2937,0,0.184820,0.561391,0.126177,0.145166,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2948,0,0.235091,0.551311,0.123795,0.143033,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2958,0,0.264963,0.560479,0.121717,0.139917,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2959,1,0.269159,0.561411,0.122449,0.140592,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2971,0,0.275898,0.562333,0.123947,0.141715,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3065,0,0.224810,0.551375,0.125887,0.145179,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3114,0,0.258193,0.584821,0.124090,0.142647,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3115,1,0.260185,0.583755,0.123243,0.141576,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3127,0,0.249306,0.593049,0.124934,0.143612,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3229,0,0.287788,0.558007,0.125581,0.144273,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3230,1,0.291726,0.564018,0.125215,0.143914,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3249,0,0.299627,0.619328,0.119580,0.137893,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3463,0,0.300275,0.560383,0.129242,0.148060,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3464,1,0.305401,0.559929,0.128964,0.148067,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3477,0,0.297088,0.565128,0.125644,0.144178,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3478,0,0.299539,0.563988,0.125077,0.143515,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3580,0,0.298614,0.683617,0.121012,0.139348,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3605,0,0.318585,0.707996,0.123536,0.143156,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3606,1,0.317463,0.703646,0.124175,0.144163,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3618,0,0.263481,0.674302,0.124547,0.144343,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3631,0,0.247060,0.646520,0.124249,0.144111,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3736,0,0.136186,0.600047,0.129087,0.148230,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3737,1,0.145144,0.601651,0.127446,0.147198,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3756,0,0.215404,0.587951,0.122916,0.140384,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3854,0,0.275143,0.643686,0.124171,0.144205,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3855,1,0.280169,0.645272,0.124228,0.144368,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3864,0,0.261613,0.651647,0.123746,0.143349,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3873,0,0.256647,0.654812,0.124498,0.143105,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3913,0,0.252017,0.622988,0.123578,0.142502,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3967,0,0.356771,0.523588,0.131243,0.150627,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3968,1,0.364493,0.522576,0.132657,0.151850,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,3984,0,0.331293,0.566491,0.124004,0.141449,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4008,0,0.313775,0.650006,0.122175,0.141701,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4029,0,0.312020,0.662448,0.123215,0.144207,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4030,1,0.312759,0.661676,0.123212,0.143959,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4050,0,0.297214,0.654178,0.122725,0.140022,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4062,0,0.292899,0.644937,0.123186,0.141899,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4082,0,0.298726,0.644452,0.126231,0.144721,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4083,1,0.300056,0.642411,0.124674,0.142865,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4091,0,0.286386,0.652053,0.119688,0.137323,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4102,0,0.292291,0.660859,0.120663,0.139640,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4141,0,0.326758,0.671962,0.122793,0.142835,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4153,0,0.332776,0.698759,0.119847,0.139991,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4154,1,0.332776,0.698759,0.119847,0.139991,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4155,0,0.332776,0.698759,0.119847,0.139991,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4184,0,0.294609,0.933074,0.112750,0.129168,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4189,0,0.306685,0.933198,0.114255,0.129564,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4227,0,0.262681,0.751490,0.124816,0.142861,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4288,0,0.290465,0.771483,0.122667,0.141623,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4352,0,0.261142,0.662908,0.125572,0.143524,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4382,0,0.212248,0.610252,0.123952,0.140899,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4405,0,0.201249,0.657251,0.126691,0.143665,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4517,0,0.214977,0.772630,0.127053,0.146278,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4563,0,0.323841,0.730411,0.122552,0.141494,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4564,1,0.327880,0.724365,0.122649,0.141238,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4575,0,0.266042,0.692820,0.123184,0.142755,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4688,0,0.323642,0.749856,0.128855,0.147804,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4740,0,0.267371,0.566867,0.121926,0.138541,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4761,0,0.295109,0.601653,0.120599,0.139307,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4899,0,0.295696,0.513698,0.127145,0.144445,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4921,0,0.308531,0.545487,0.125178,0.144712,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4922,1,0.313307,0.546447,0.125482,0.145026,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,4936,0,0.325363,0.607022,0.120133,0.138887,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5065,0,0.371950,0.718513,0.124539,0.143078,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5066,1,0.373806,0.710933,0.123836,0.141481,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5080,0,0.385137,0.710535,0.123755,0.141780,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5182,0,0.286431,0.935675,0.109698,0.124544,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5207,0,0.277667,0.916810,0.120854,0.141513,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5343,0,0.430281,0.595031,0.123541,0.141406,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5344,1,0.431976,0.599290,0.122117,0.140028,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5361,0,0.399446,0.647553,0.120566,0.138523,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5558,0,0.323976,0.643428,0.120423,0.139123,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5682,0,0.473476,0.482527,0.122349,0.138424,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5688,0,0.472105,0.495609,0.125523,0.143059,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5714,0,0.455555,0.522278,0.123324,0.141519,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5715,1,0.456521,0.522074,0.123948,0.142637,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5727,0,0.428565,0.581684,0.121972,0.140003,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5735,0,0.423194,0.612679,0.121752,0.139384,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,5926,0,0.388175,0.871617,0.117720,0.135218,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,6004,0,0.210588,0.558143,0.124765,0.141684,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD146.avi,296,0,0.510493,0.118209,0.121451,0.141838,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD146.avi,train
AD146.avi,297,0,0.510493,0.118209,0.121451,0.141838,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD146.avi,train
AD146.avi,546,0,0.591056,0.327574,0.122098,0.139331,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD146.avi,train
AD146.avi,580,0,0.633832,0.138916,0.124171,0.142292,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD146.avi,train
AD146.avi,581,1,0.627847,0.139631,0.125676,0.143648,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD146.avi,train
AD146.avi,706,0,0.324834,0.430561,0.124847,0.142268,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD146.avi,train
AD146.avi,738,0,0.388475,0.263243,0.121142,0.141153,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD146.avi,train
AD146.avi,739,1,0.397581,0.259818,0.122446,0.141484,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD146.avi,train
AD146.avi,753,0,0.379636,0.297146,0.124385,0.142723,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD146.avi,train
AD146.avi,780,0,0.231670,0.342908,0.120537,0.138132,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD146.avi,train
AD146.avi,942,0,0.315401,0.654036,0.124705,0.142007,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD146.avi,train
AD146.avi,943,1,0.320467,0.654743,0.124418,0.142233,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD146.avi,train
